name,description
Truffled mushroom pâté,"Serve this easy vegetarian pâté as a starter at a dinner party. It's a great partner to toast, mini crispbreads and cornichons"
Chinese chicken curry,"Cook an easy, healthy curry with just 15 minutes preparation. Serve this replica of your favourite takeaway dish with fluffy rice for a wholesome family meal"
